Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Routes with IATA code
Airport: [UAK] Narsarsuaq, Greenland
Airport: [MDC] Sam Ratulangi, Indonesia
Airport: [BJV] Bodrum - Milas, Turkey
Airport: [KRR] Pashkovskiy, Russia
Airport: [FLR] Firenze, Italy
Airport: [REP] Siem Reap, Cambodia
Airport: [STM] Santarem, Brazil
Airport: [POS] Piarco, Trinidad and Tobago
Airport: [DUR] Durban Intl, South Africa
Airport: [RUN] St Denis Gillot, Reunion
Airport: [YYT] St Johns Intl, Canada
Airport: [BGI] Grantley Adams Intl, Barbados
Airport: [TSA] Sungshan, Taiwan
Airport: [YCB] Cambridge Bay, Canada
Airport: [DAD] Danang Intl, Vietnam
Airport: [CGR] Campo Grande, Brazil
Airport: [LAE] Nadzab, Papua New Guinea
Airport: [ORN] Es Senia, Algeria
Airport: [YKQ] Waskaganish Airport, Canada
Airport: [HLD] Dongshan, China
Airport: [FYU] Fort Yukon, United States
Airport: [TGU] Toncontin Intl, Honduras
Airport: [PRN] Pristina, Serbia
Airport: [MUA] Munda Airport, Solomon Islands
Airport: [RYG] Moss, Norway
Airport: [MDZ] El Plumerillo, Argentina
Airport: [RAO] Leite Lopes, Brazil
Airport: [PEW] Peshawar Intl, Pakistan
Airport: [YVQ] Norman Wells, Canada
Airport: [PDL] Ponta Delgada, Portugal
Airport: [LIF] Lifou, New Caledonia
Airport: [JRO] Kilimanjaro Intl, Tanzania
Airport: [BRW] Wiley Post Will Rogers Mem, United States
Airport: [AMQ] Pattimura, Indonesia
Airport: [JOG] Adi Sutjipto, Indonesia
Airport: [SRI] Temindung, Indonesia
Airport: [PNQ] Pune, India
Airport: [BLL] Billund, Denmark
Airport: [ADQ] Kodiak, United States
Airport: [PBI] Palm Beach Intl, United States
Airport: [SHJ] Sharjah Intl, United Arab Emirates
Airport: [JTR] Santorini, Greece
Airport: [NOU] La Tontouta, New Caledonia
Airport: [LBV] Leon M Ba, Gabon
Airport: [PNH] Phnom Penh Intl, Cambodia
Airport: [KGD] Khrabrovo, Russia
Airport: [RGI] Rangiroa, French Polynesia
Airport: [ZUH] Zhuhai Airport, China
Airport: [ARH] Talagi, Russia
Airport: [CCJ] Calicut, India
Airport: [UFA] Ufa, Russia
Airport: [BME] Broome, Australia
Airport: [BZV] Maya Maya, Congo (Brazzaville)
Airport: [BMA] Bromma, Sweden
Airport: [HMO] General Ignacio P Garcia Intl, Mexico
Airport: [TPS] Trapani Birgi, Italy
Airport: [NBE] Enfidha - Zine El Abidine Ben Ali International Airport, Tunisia
Airport: [BEN] Benina, Libya
Airport: [BUF] Buffalo Niagara Intl, United States
Airport: [GCM] Owen Roberts Intl, Cayman Islands
Airport: [ORK] Cork, Ireland
Airport: [VRN] Villafranca, Italy
Airport: [AZI] Bateen, United Arab Emirates
Airport: [TDD] Tte Av Jorge Henrich Arauz, Bolivia
Airport: [TFN] Tenerife Norte, Spain
Airport: [RNO] Reno Tahoe Intl, United States
Airport: [SAP] La Mesa Intl, Honduras
Airport: [ALB] Albany Intl, United States
Airport: [OMA] Eppley Afld, United States
Airport: [HFT] Hammerfest Airport, Norway
Airport: [MUR] Marudi, Malaysia
Airport: [KLG] Kalskag Airport, United States
Airport: [COR] Ambrosio L V Taravella, Argentina
Airport: [JIB] Ambouli International Airport, Djibouti
Airport: [STT] Cyril E King, Virgin Islands
Airport: [PKU] Sultan Syarif Kasim Ii, Indonesia
Airport: [UUS] Khomutovo, Russia
Airport: [PTP] Le Raizet, Guadeloupe
Airport: [LIL] Lesquin, France
Airport: [YTL] Big Trout Lake Airport, Canada
Airport: [OSS] Osh, Kyrgyzstan
Airport: [RIA] Santa Maria Airport, Brazil
Airport: [WWK] Wewak Intl, Papua New Guinea
Airport: [BZE] Philip S W Goldson Intl, Belize
Airport: [SOQ] Jefman, Indonesia
Airport: [DVO] Francisco Bangoy International, Philippines
Airport: [ROV] Rostov Na Donu, Russia
Airport: [PMV] Del Caribe Intl Gen Santiago Marino, Venezuela
Airport: [BHM] Birmingham Intl, United States
Airport: [SZG] Salzburg, Austria
Airport: [KOA] Kona Intl At Keahole, United States
Airport: [ORF] Norfolk Intl, United States
Airport: [KGX] Grayling Airport, United States
Airport: [SLZ] Marechal Cunha Machado Intl, Brazil
Airport: [SCC] Deadhorse, United States
Airport: [TIA] Tirana Rinas, Albania
Airport: [ZTH] Dionysios Solomos, Greece
Airport: [SCQ] Santiago, Spain
Airport: [NAT] Augusto Severo, Brazil
Airport: [PVD] Theodore Francis Green State, United States
Airport: [LEJ] Leipzig Halle, Germany
Airport: [AHO] Alghero, Italy
Airport: [REU] Reus, Spain
Airport: [TRN] Torino, Italy
Airport: [TSF] Treviso, Italy
Airport: [LET] Alfredo Vasquez Cobo, Colombia
Airport: [SXB] Entzheim, France
Airport: [KSM] St Marys Airport, United States
Airport: [SPR] San Pedro, Belize
Airport: [ZQN] Queenstown, New Zealand
Airport: [TBS] Tbilisi, Georgia
Airport: [YGW] Kuujjuarapik Airport, Canada
Airport: [DTM] Dortmund, Germany
Airport: [NGS] Nagasaki, Japan
Airport: [TMM] Toamasina, Madagascar
Airport: [BOC] Bocas Del Toro Intl, Panama
